SEPARATE    PARAGRAPH  
PARTICULAR    TEMPERATURE 
TRIANGLE    MATERIAL 
POSSIBLE    QUESTION 
COMPLETE    EXPERIENCE 
THOUSAND    MOUNTAINS 
NECESSARY    EXPERIMENT 
DIFFICULT    SOLUTION 
MULTIPLY    FRACTIONS 
LANGUAGE    DICTIONARY 
OPPOSITE    CONDITION 
ELECTRIC    SUBSTANCE 
REMEMBER    CHILDREN 
SUBTRACT    MATERIAL 
INDICATE    CONDITION 
EXERCISE    RESTRAINT 
INSTRUMENT    EXPERIMENT 
CONSIDER    PRACTICE 
REPRESENT    NECESSITY 
CHARACTER    REFERENCE 
NEIGHBORHOOD    SURPRISE 
PROPERTY    DIVISION 
PROBABLE    POSITION 
INTEREST    SUBTRACTION 
ESPECIALLY    DIFFICULT 
